"plot_id","coords_longitude","coords_latitude","admin_province","admin_region","admin_municipality","admin_aut_community","topo_fdm_slope_percentage","topo_altitude_asl","trailNumber","sys_dt_started","sys_dt_done"
"P_00001",1.81015104098743,42.2993138928943,"Barcelona","Berguedà","Guardiola de Berguedà","Catalunya",46.9485054,1919.5,23,"2022-05-06 13:06:35","1652090138.93456"
"P_00002",1.78571667967847,42.2911864846551,"Barcelona","Berguedà","Bagà","Catalunya",62.3993797,1720.7700195,51,"2022-05-06 13:06:35","1652090142.14757"
"P_00003",1.79787970006816,42.2913596732643,"Barcelona","Berguedà","Bagà","Catalunya",51.4742393,1717.1600342,15,"2022-05-06 13:06:35","1652090144.95086"
"P_00004",1.81007571669349,42.2910726067125,"Barcelona","Berguedà","Guardiola de Berguedà","Catalunya",69.6647568,1440.5400391,15,"2022-05-06 13:06:35","1652090147.27665"
"P_00005",1.78617107328926,42.2814197621613,"Barcelona","Berguedà","Gisclareny","Catalunya",60.3889809,1346.9799805,NA,"2022-05-06 13:06:35",NA
"P_00006",1.75012656436748,42.272828058932,"Barcelona","Berguedà","Gisclareny","Catalunya",59.1585579,1755.4399414,NA,"2022-05-06 13:06:35",NA
"P_00010",1.8103569287485,42.2735497797158,"Barcelona","Berguedà","Gisclareny","Catalunya",53.8600349,1134.25,NA,"2022-05-06 13:06:35",NA
"P_00015",1.76238879644218,42.2634056471257,"Barcelona","Berguedà","Gisclareny","Catalunya",55.2376022,1400.3900146,NA,"2022-05-06 13:06:35",NA
"P_00018",1.70170397907699,42.254016812948,"Barcelona","Berguedà","Saldes","Catalunya",63.965271,1623.5100098,NA,"2022-05-06 13:06:35",NA
"P_00022",1.76151703713835,42.2552907867171,"Barcelona","Berguedà","Saldes","Catalunya",53.9356117,1464.4599609,NA,"2022-05-06 13:06:35",NA
"P_00026",1.73820587530389,42.2454902407568,"Barcelona","Berguedà","Saldes","Catalunya",121.3551865,1088.1700439,NA,"2022-05-06 13:07:32",NA
"P_00030",1.76266638177019,42.2368047163479,"Barcelona","Berguedà","Saldes","Catalunya",70.3441391,1048.6500244,NA,"2022-05-06 13:07:32",NA
"P_00036",1.75062125344599,42.2275059278944,"Barcelona","Berguedà","Saldes","Catalunya",29.7318935,1134.8000488,NA,"2022-05-06 13:07:32",NA
"P_00037",1.79902324784256,42.2279419337151,"Barcelona","Berguedà","Vallcebre","Catalunya",41.2249298,1180.9799805,NA,"2022-05-06 13:07:32",NA
"P_00042",1.71520831982491,42.2092285658538,"Barcelona","Berguedà","Saldes","Catalunya",14.6130209,1414.3900146,NA,"2022-05-06 13:07:32",NA
"P_00045",1.76277708019038,42.2094183329671,"Barcelona","Berguedà","Saldes","Catalunya",21.8604279,1674.8800049,NA,"2022-05-06 13:07:32",NA
"P_01198",1.97292586410256,41.9596831864004,"Barcelona","Berguedà","Santa Maria de Merlès","Catalunya",24.0352364,586.5100098,NA,"2022-05-06 13:07:32",NA
"P_00047",1.78787550297003,42.2101726552956,"Barcelona","Berguedà","Vallcebre","Catalunya",47.6223412,1628.4799805,NA,"2022-05-06 13:07:32",NA
"P_00048",1.69068599966741,42.1999991712656,"Barcelona","Berguedà","Saldes","Catalunya",76.0766144,1417.2299805,NA,"2022-05-06 13:07:32",NA
"P_00050",1.71503842645034,42.1996801746498,"Barcelona","Berguedà","Saldes","Catalunya",63.1538506,1660.8599854,NA,"2022-05-06 13:07:32",NA
